Show,Season,Episode Number,Episode Title,Airdate
Legends of Tomorrow,Season 5,7,Mr. Parker's Cul-De-Sac,3/10/20
Flash,Season 6,14,Death of the Speed Force,3/10/20
Super Girl,Season 5,15,Reality Bytes,3/15/20
Bat Woman,Season 1,15,Off with Her Head,3/15/20
Legends of Tomorrow,Season 5,8,Romeo V. Juliet: Dawn of Justness,3/17/20
Flash,Season 6,15,The Exorcism of Nash Wells,3/17/20
Super Girl,Season 5,16,Alex in Wonderland,3/22/20
Bat Woman,Season 1,16,Through the Looking-Glass,3/22/20
Legends of Tomorrow,Season 5,9,"Zari, Not Zari",4/21/20
Flash,Season 6,16,So Long and Goodnight,4/21/20
Bat Woman,Season 1,17,A Narrow Escape,4/26/20
Legends of Tomorrow,Season 5,10,The Great British Fake Off,4/28/20
Flash,Season 6,17,Liberation,4/28/20
Super Girl,Season 5,17,Deus Lex Machina,5/3/20
Bat Woman,Season 1,18,"If You Believe in Me, I'll Believe in You",5/3/20
Legends of Tomorrow,Season 5,11,Ship Broken,5/5/20
Flash,Season 6,18,Pay the Piper,5/5/20
Super Girl,Season 5,18,The Missing Link,5/10/20
Bat Woman,Season 1,19,A Secret Kept from All the Rest,5/10/20
Legends of Tomorrow,Season 5,12,Freaks and Greeks,5/12/20
Flash,Season 6,19,Success Is Assured,5/12/20
Super Girl,Season 5,19,Immortal Kombat,5/17/20
Bat Woman,Season 1,20,"O, Mouse!",5/17/20
Legends of Tomorrow,Season 5,13,I Am Legends,5/19/20
Legends of Tomorrow,Season 5,14,The One Where We're Trapped on TV,5/26/20
Legends of Tomorrow,Season 5,15,Swan Thong,6/2/20
Super Girl,Season 6,1,Episode #6.1,2020
Legends of Tomorrow,Season 6,1,Episode #6.1,2020
Flash,Season 7,1,Episode #7.1,Jan. 2021
Bat Woman,Season 2,1,Episode #2.1,Jan. 2021
Superman & Lois,Season 1,1,Pilot,Jan. 2021
Superman & Lois,Season 1,2,Episode #1.2,2021
Superman & Lois,Season 1,3,Episode #1.3,2021
Superman & Lois,Season 1,4,Episode #1.4,2021
Superman & Lois,Season 1,5,Episode #1.5,2021
Superman & Lois,Season 1,6,Episode #1.6,2021
Superman & Lois,Season 1,7,Episode #1.7,2021
Superman & Lois,Season 1,8,Episode #1.8,2021
Superman & Lois,Season 1,9,Episode #1.9,2021
Superman & Lois,Season 1,10,Episode #1.10,
Superman & Lois,Season 1,11,Episode #1.11,
Superman & Lois,Season 1,12,Episode #1.12,
Superman & Lois,Season 1,13,Episode #1.13,
Superman & Lois,Season 1,14,Episode #1.14,
Superman & Lois,Season 1,15,Episode #1.15,
Superman & Lois,Season 1,16,Episode #1.16,
Superman & Lois,Season 1,17,Episode #1.17,
Superman & Lois,Season 1,18,Episode #1.18,
Superman & Lois,Season 1,19,Episode #1.19,
Superman & Lois,Season 1,20,Episode #1.20,
Superman & Lois,Season 1,21,Episode #1.21,
Superman & Lois,Season 1,22,Episode #1.22,
