name,profileUrl,url,desc,phone,fax,email,type,isPublic,publicHours,hasOnSiteTastingRoom,region,img,wines,id,White Wines,Red Wines,Other Types,Alvarinho,Barbera,Black Muscat,Blend - Bordeaux Style Red,Blend - Bordeaux Style White,Blend - Other Red,Blend - Other White,Blend - Proprietary Red,Blend - Proprietary White,Blend - Rhone Style Red,Blend - Rhone Style White,Cabernet Franc,Cabernet Sauvignon,Carmenere,Chardonnay,Chenin Blanc,Cider,Cinsault,Dolcetto,Folle Blanche/ Picpoul Blanc,Fruit,Fume Blanc,Gamay Noir,Gewurztraminer,Grenache Blanc,Grenache Noir,Gruner Veltliner,Late Harvest/Dessert/Ice Wine,Lemberger,Madeleine Angevine,Malbec,Marechal Foch,Mead,Merlot,Montepulciano,Mourvedre,Muller-Thurgau,Muscat Blanc,Muscat Canelli,Muscat Noir,Nebbiolo,Orange Muscat,Other,Petit Verdot,Petite Sirah,Pinot Blanc,Pinot Gris,Pinot Noir,Primitivo,Riesling,Rose,Roussanne,Sagrantino,Sake,Sangiovese,Sauvignon Blanc,Semillon,Siegerrebe,Sparkling,Sylvaner,Syrah,Tempranillo,Tinto Cao,Touriga Nacional,Viognier,Zinfandel
Adrice Wines,https://www.washingtonwine.org/wineries/adrice-wines/,,"Adrice Wines, we started making wine in California and moved back to Washington state.
We have friends and community here and would like you to be part of our family.
Adrice Wines, ""What's at your address"".",2063547243,,adricewines@gmail.com,Winery,True,"Friday 2-6 pm
Saturday 12-6
Sunday 12-6",1,Woodinville,https://wswc-1290.kxcdn.com/_assets/99e94db19d919763b792410e6e086fca/default_profile_img-01.png,[],19994,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adytum Cellars - Woodinville,https://www.washingtonwine.org/wineries/adytum-cellars-woodinville/,http://www.adytumcellars.com,"The 6 acre site, nestled in the fertile Samammish Valley, just off the Tolt Pipeline Trail, Adytum Cellars is a unique destination for the Mead Seeking Traveler. Stop in to the tasting room and sample the latest elixr. ",425-482-9030,,mead@adytumcellars.com,Winery,True,Sat 11am-4pm,1,Other,https://wswc-1290.kxcdn.com/_assets/01016b382078981585707c4f047ac195/banner_rgb.jpg,[],220,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adytum Cellars - Zillah,https://www.washingtonwine.org/wineries/adytum-cellars-zillah/,www.adytumcellars.com,,425-482-9030,,mead@adytumcellars.com,Winery,False,,,,https://wswc-1290.kxcdn.com/_assets/99e94db19d919763b792410e6e086fca/default_profile_img-01.png,[],12930,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Aesir Meadery Co,https://www.washingtonwine.org/wineries/aesir-meadery/,,,,,,Winery,False,,,Central Washington (Wahluke Slope area),https://wswc-1290.kxcdn.com/_assets/99e94db19d919763b792410e6e086fca/default_profile_img-01.png,[],18261,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Agate Creek Cellars,https://www.washingtonwine.org/wineries/agate-creek-cellars/,www.agatecreekcellars.com,Agate Creek Cellars is a small family owned winery specializing in quality full-bodied red wines from Washington grown grapes.,360 740-1692,360 740-1692,agatecreekwine@msn.com,Winery,True,Saturday 12-5pm  March through October,1,Southwest WA,https://wswc-1290.kxcdn.com/_assets/c5ae585afc4ea51e4a76a3b49d874bbb/cab sav.jpg,[],15882,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Agate Field Vineyard,https://www.washingtonwine.org/wineries/agate-field-vineyard/,http://www.agatefieldvineyard.com,Agate Field Vineyard is a family owned and operated estate winery located north of Zillah WA. on a hill overlooking whiskey canyon. The vineyard is filled with beautiful agates rich in clarity and color.,509-930-0806,509-829-6097,ginger@agatefieldvineyard.com,Winery,True,"April 1 thru Oct.  Fri-Sun. 11am-5pm  June thru Sept. we will be open on Thursday from 12am-4pm or by appointment. We will also be open on event weekends like Red Wine and Chocolate , Spring Barrel and Thanksgiving in Wine Country from 10am-5pm  ",1,Yakima,https://wswc-1290.kxcdn.com/_assets/85b3e5c5c4a28d3f6d94d1cb9c2add3b/P1010028.JPG,"[{'objectName': '16291743a85f3dc1cdd5cba1af0b964f', 'name': '2007 Agate Field Vineyard Cabernet Sauvignon', 'variety': 'Cabernet Sauvignon'}, {'objectName': '8f5eb38e97dee40c06523844def3383e', 'name': '2008 Agate Field Drifter Merlot', 'variety': 'Merlot'}, {'objectName': 'bce93feadab56b5aa9159da066f2e847', 'name': '2008 Agate Field Moon Rider Cabernet Franc ', 'variety': 'Cabernet Franc'}, {'objectName': '765e1b74e34576f86807b6238d98f9f2', 'name': '2007 Agate Field La Moisson Red Wine', 'variety': 'Blend - Bordeaux Style Red'}, {'objectName': '50d927d560e63e615278caff4809f42b', 'name': '2007 Agate Field Drifter Syrah', 'variety': 'Syrah'}, {'objectName': '9712d8cf0cf3033dfeccd995fa18933e', 'name': '2006 Agate Field La Moisson Red Wine', 'variety': 'Blend - Bordeaux Style Red'}, {'objectName': '3be7616155eb0e12eecf40048b33238d', 'name': '2007 Agate Field Dancing Cowboy Red', 'variety': 'Blend - Bordeaux Style Red'}, {'objectName': '56bad0e647011be441ef0a2487ca3d9b', 'name': '2007 Agate Field Dancing Cowboy Red', 'variety': 'Blend - Bordeaux Style Red'}, {'objectName': '5b772f3563d6e9318315bb5422aa6c2f', 'name': '2005 Agate Field La Moisson Red Wine', 'variety': 'Blend - Bordeaux Style Red'}]",221,0,9,0,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Alder Ridge Estate Winery,https://www.washingtonwine.org/wineries/alder-ridge-estate-winery/,http://www.alderridge.com/,Alder Ridge wines are carefully crafted by winemaker Peter Devison in the heart of the Horse Heaven Hills appellation in Washington state. Created with handpicked fruit from the most premium sites within the vast estate vineyard.,(425) 408-1796,,info@apex-at-alderridge.com,Winery,False,,,Prosser,https://wswc-1290.kxcdn.com/_assets/b38e1e136d8a5b1dec345ef7564fa7c8/AlderRidge_07_Logo_Red.jpg,"[{'objectName': '0d48dae2056329b08ec7980ed6cbeb53', 'name': 'Alder Ridge Cabernet Sauvignon', 'variety': 'Cabernet Sauvignon'}]",12546,0,1,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Alexander the Grape,https://www.washingtonwine.org/wineries/alexander-the-grape/,,,,,,Winery,False,,,Spokane,https://wswc-1290.kxcdn.com/_assets/99e94db19d919763b792410e6e086fca/default_profile_img-01.png,[],18174,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Alexandria Nicole Cellars - Prosser,https://www.washingtonwine.org/wineries/alexandria-nicole-cellars---prosser-location/,http://www.alexandrianicolecellars.com,"Alexandria Nicole Cellars is dedicated to producing small lots of hand-crafted wine from our Destiny Ridge Estate Vineyard.  Our goal is to produce estate vineyard wines that are elegant, approachable, and true to our vineyards terroir.",(509) 786-3497,(509) 786-3469,tasting@alexandrianicolecellars.com,Winery,True,"Monday - Saturday 11:00-5:00pm
Sunday 12:00-5:00pm",1,Prosser,https://wswc-1290.kxcdn.com/_assets/ef1cf45abfac6a6d078208e434cd560f/ANC-logo-red.jpg,"[{'objectName': '3ac663ea9a98002ae2208a60f17ead02', 'name': 'Albariño - Affinity', 'variety': 'Alvarinho'}, {'objectName': 'd822367f17948c7218e90656a67b6c7b', 'name': 'Malbec - Block 20', 'variety': 'Malbec'}, {'objectName': '3d34929f8dd8165c751788aa244b5fb1', 'name': 'Chardonnay', 'variety': 'Chardonnay'}, {'objectName': 'c455465abcf5d976aa79e9292c6124f8', 'name': 'Merlot - Gravity', 'variety': 'Merlot'}, {'objectName': 'd1cb4e53716d987cb53590c500a361ca', 'name': 'Jet Black Syrah', 'variety': 'Syrah'}, {'objectName': '9540577e3cedd6e12db54890e07ca79f', 'name': 'Cabernet Sauvignon - Alderdale', 'variety': 'Cabernet Sauvignon'}, {'objectName': '1d8b6cd42fa6b9a41a5d269ae4f4ba4f', 'name': 'Petit Verdot - Little Big Man', 'variety': 'Petit Verdot'}, {'objectName': 'd91b9611bfd16ca4df0bf6b0ba141bce', 'name': 'Shepherds Mark', 'variety': 'Blend - Rhone Style White'}, {'objectName': '37c5f5321e725d18689579fcc36eaeba', 'name': 'Viognier - Crawford', 'variety': 'Viognier'}, {'objectName': '87f5c7a67d4e65c6635fc1aca9b5e495', 'name': 'Rosé', 'variety': 'Rose'}, {'objectName': '30c68bf8e4e863c842f5476e54cd8969', 'name': 'Quarry Butte', 'variety': 'Blend - Bordeaux Style Red'}, {'objectName': '25c987e75da1ae0c476a67ec034d62e5', 'name': 'Destiny', 'variety': 'Blend - Bordeaux Style Red'}, {'objectName': '6006bb99eefdf8033ad1be936f07c1c2', 'name': 'Petite Sirah - Mr Big', 'variety': 'Petite Sirah'}, {'objectName': '72cae91f40efc169a008c8c4e63bf80c', 'name': 'Cabernet Franc -Wild One', 'variety': 'Cabernet Franc'}]",229,4,9,1,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
Alexandria Nicole Cellars - Woodinville,https://www.washingtonwine.org/wineries/alexandria-nicole-cellars---woodinville-location/,,"Alexandria Nicole Cellars is dedicated to producing small lots of hand-crafted wine from our Destiny Ridge Estate Vineyard.  Our goal is to produce estate vineyard wines that are elegant, approachable, and true to our vineyards terroir.",425.483.2968,509.786.3469,info@alexandrianicolecellars.com,Winery,True,"Monday - Saturday 11:00-5:00pm
Sunday 12:00-5:00pm
Wine Club Wine Down Friday 5-8PM",1,Woodinville,https://wswc-1290.kxcdn.com/_assets/90fc7711dffdba5b3ad506b7dbbd8163/ANC-logo-red.jpg,"[{'objectName': 'd6595d719d392805d5eca6b07501c151', 'name': 'Cabernet Sauvignon - Alderdale', 'variety': 'Cabernet Sauvignon'}, {'objectName': 'a26558473fb859bb18a71c63fd0a31d4', 'name': 'CHARDONNAY', 'variety': 'Chardonnay'}, {'objectName': 'dde12a87c90235aa82981d5d7e6e6e0d', 'name': 'Shepherds Mark', 'variety': 'Blend - Rhone Style White'}, {'objectName': '50a91f28596cf216b58f18fd5810e766', 'name': '“AFFINITY”\x9d ALBARIÑO', 'variety': 'Alvarinho'}, {'objectName': '9bf751c458c391cfa05779c3377f77c6', 'name': 'Rosé', 'variety': 'Rose'}, {'objectName': '8ed45be5b412e1f769a933594386bf5e', 'name': 'Viognier - Crawford', 'variety': 'Viognier'}, {'objectName': '209043bc3e75940d45165f1c28d1c763', 'name': 'Merlot - Gravity', 'variety': 'Merlot'}, {'objectName': '383fb5b5fa6fee7e74666966c76b9676', 'name': 'Destiny', 'variety': 'Blend - Bordeaux Style Red'}, {'objectName': '98033661023055bdc766c6f5aa9c1331', 'name': 'Jet Black Syrah', 'variety': 'Syrah'}, {'objectName': '5b9d93fbfb967a641262f12569a8b6c1', 'name': 'QUARRY BUTTE', 'variety': 'Blend - Bordeaux Style Red'}]",9876,4,5,1,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
ALEXXIAN,https://www.washingtonwine.org/wineries/alexxian/,,,,,,Winery,False,,,Central Washington (Wahluke Slope area),https://wswc-1290.kxcdn.com/_assets/99e94db19d919763b792410e6e086fca/default_profile_img-01.png,[],19199,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ALIA Wines,https://www.washingtonwine.org/wineries/alia-wines/,http://www.aliawines.com,"We are a small local winery in Snohomish County, producing very small lots of hand-crafted wine. We specialize in Bordeaux and Rhone varietals.",360-794-0421,,ALIAWines@Comcast.net,Winery,True,Tasting at the winery by appointment,,Greater Seattle Area,https://wswc-1290.kxcdn.com/_assets/658cb23771e2eae11a7de5435851ccfd/ALIA-2005-Syrah-cropped.jpg,[],2087,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
